"Name","Miles_per_Gallon","Cylinders","Displacement","Horsepower","Weight_in_lbs","Acceleration","Year","Origin"
"citroen ds-21 pallas",NA,4,133.0,115,3090,17.5,"1970-01-01","Europe"
"volkswagen 1131 deluxe sedan",26.0,4,97.0,46,1835,20.5,"1970-01-01","Europe"
"peugeot 504",25.0,4,110.0,87,2672,17.5,"1970-01-01","Europe"
"audi 100 ls",24.0,4,107.0,90,2430,14.5,"1970-01-01","Europe"
"saab 99e",25.0,4,104.0,95,2375,17.5,"1970-01-01","Europe"
"bmw 2002",26.0,4,121.0,113,2234,12.5,"1970-01-01","Europe"
"volkswagen super beetle 117",NA,4,97.0,48,1978,20.0,"1971-01-01","Europe"
"opel 1900",28.0,4,116.0,90,2123,14.0,"1971-01-01","Europe"
"peugeot 304",30.0,4,79.0,70,2074,19.5,"1971-01-01","Europe"
"fiat 124b",30.0,4,88.0,76,2065,14.5,"1971-01-01","Europe"
"volkswagen model 111",27.0,4,97.0,60,1834,19.0,"1971-01-01","Europe"
"volkswagen type 3",23.0,4,97.0,54,2254,23.5,"1972-01-01","Europe"
"volvo 145e (sw)",18.0,4,121.0,112,2933,14.5,"1972-01-01","Europe"
"volkswagen 411 (sw)",22.0,4,121.0,76,2511,18.0,"1972-01-01","Europe"
"peugeot 504 (sw)",21.0,4,120.0,87,2979,19.5,"1972-01-01","Europe"
"renault 12 (sw)",26.0,4,96.0,69,2189,18.0,"1972-01-01","Europe"
"volkswagen super beetle",26.0,4,97.0,46,1950,21.0,"1973-01-01","Europe"
"fiat 124 sport coupe",26.0,4,98.0,90,2265,15.5,"1973-01-01","Europe"
"fiat 128",29.0,4,68.0,49,1867,19.5,"1973-01-01","Europe"
"opel manta",24.0,4,116.0,75,2158,15.5,"1973-01-01","Europe"
"audi 100ls",20.0,4,114.0,91,2582,14.0,"1973-01-01","Europe"
"volvo 144ea",19.0,4,121.0,112,2868,15.5,"1973-01-01","Europe"
"saab 99le",24.0,4,121.0,110,2660,14.0,"1973-01-01","Europe"
"audi fox",29.0,4,98.0,83,2219,16.5,"1974-01-01","Europe"
"volkswagen dasher",26.0,4,79.0,67,1963,15.5,"1974-01-01","Europe"
"opel manta",26.0,4,97.0,78,2300,14.5,"1974-01-01","Europe"
"fiat 128",24.0,4,90.0,75,2108,15.5,"1974-01-01","Europe"
"fiat 124 tc",26.0,4,116.0,75,2246,14.0,"1974-01-01","Europe"
"fiat x1.9",31.0,4,79.0,67,2000,16.0,"1974-01-01","Europe"
"volkswagen dasher",25.0,4,90.0,71,2223,16.5,"1975-01-01","Europe"
"volkswagen rabbit",29.0,4,90.0,70,1937,14.0,"1975-01-01","Europe"
"audi 100ls",23.0,4,115.0,95,2694,15.0,"1975-01-01","Europe"
"peugeot 504",23.0,4,120.0,88,2957,17.0,"1975-01-01","Europe"
"volvo 244dl",22.0,4,121.0,98,2945,14.5,"1975-01-01","Europe"
"saab 99le",25.0,4,121.0,115,2671,13.5,"1975-01-01","Europe"
"fiat 131",28.0,4,107.0,86,2464,15.5,"1976-01-01","Europe"
"opel 1900",25.0,4,116.0,81,2220,16.9,"1976-01-01","Europe"
"renault 12tl",27.0,4,101.0,83,2202,15.3,"1976-01-01","Europe"
"vw rabbit",29.0,4,90.0,70,1937,14.2,"1976-01-01","Europe"
"volkswagen rabbit",29.5,4,97.0,71,1825,12.2,"1976-01-01","Europe"
"volvo 245",20.0,4,130.0,102,3150,15.7,"1976-01-01","Europe"
"peugeot 504",19.0,4,120.0,88,3270,21.9,"1976-01-01","Europe"
"mercedes-benz 280s",16.5,6,168.0,120,3820,16.7,"1976-01-01","Europe"
"renault 5 gtl",36.0,4,79.0,58,1825,18.6,"1977-01-01","Europe"
"volkswagen rabbit custom",29.0,4,97.0,78,1940,14.5,"1977-01-01","Europe"
"volkswagen dasher",30.5,4,97.0,78,2190,14.1,"1977-01-01","Europe"
"bmw 320i",21.5,4,121.0,110,2600,12.8,"1977-01-01","Europe"
"volkswagen rabbit custom diesel",43.1,4,90.0,48,1985,21.5,"1978-01-01","Europe"
"audi 5000",20.3,5,131.0,103,2830,15.9,"1978-01-01","Europe"
"volvo 264gl",17.0,6,163.0,125,3140,13.6,"1978-01-01","Europe"
"saab 99gle",21.6,4,121.0,115,2795,15.7,"1978-01-01","Europe"
"peugeot 604sl",16.2,6,163.0,133,3410,15.8,"1978-01-01","Europe"
"volkswagen scirocco",31.5,4,89.0,71,1990,14.9,"1978-01-01","Europe"
"vw rabbit custom",31.9,4,89.0,71,1925,14.0,"1979-01-01","Europe"
"mercedes benz 300d",25.4,5,183.0,77,3530,20.1,"1979-01-01","Europe"
"peugeot 504",27.2,4,141.0,71,3190,24.8,"1979-01-01","Europe"
"fiat strada custom",37.3,4,91.0,69,2130,14.7,"1979-01-01","Europe"
"vw rabbit",41.5,4,98.0,76,2144,14.7,"1980-01-01","Europe"
"audi 4000",34.3,4,97.0,78,2188,15.8,"1980-01-01","Europe"
"vw rabbit c (diesel)",44.3,4,90.0,48,2085,21.7,"1980-01-01","Europe"
"vw dasher (diesel)",43.4,4,90.0,48,2335,23.7,"1980-01-01","Europe"
"audi 5000s (diesel)",36.4,5,121.0,67,2950,19.9,"1980-01-01","Europe"
"mercedes-benz 240d",30.0,4,146.0,67,3250,21.8,"1980-01-01","Europe"
"renault lecar deluxe",40.9,4,85.0,NA,1835,17.3,"1980-01-01","Europe"
"vokswagen rabbit",29.8,4,89.0,62,1845,15.3,"1980-01-01","Europe"
"triumph tr7 coupe",35.0,4,122.0,88,2500,15.1,"1980-01-01","Europe"
"volkswagen jetta",33.0,4,105.0,74,2190,14.2,"1982-01-01","Europe"
"renault 18i",34.5,4,100.0,NA,2320,15.8,"1982-01-01","Europe"
"peugeot 505s turbo diesel",28.1,4,141.0,80,3230,20.4,"1982-01-01","Europe"
"saab 900s",NA,4,121.0,110,2800,15.4,"1982-01-01","Europe"
"volvo diesel",30.7,6,145.0,76,3160,19.6,"1982-01-01","Europe"
"volkswagen rabbit l",36.0,4,105.0,74,1980,15.3,"1982-01-01","Europe"
"vw pickup",44.0,4,97.0,52,2130,24.6,"1982-01-01","Europe"
